Marriages by age of spouses 1971-2011;;;;;;;;;;;
;;;;;;;;;;;
Sex;Year;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60 years and over
Brides;1971;360;874;211;60;36;31;24;12;6;10
Brides;1972;385;875;238;82;37;24;20;9;10;11
Brides;1973;378;933;238;71;46;32;19;17;7;12
Brides;1974;393;960;279;97;58;35;28;21;8;12
Brides;1975;327;951;215;92;38;25;16;8;8;9
Brides;1976;310;906;235;84;30;28;26;12;7;7
Brides;1977;301;828;245;86;40;32;23;2;5;4
Brides;1978;239;844;293;88;50;28;19;9;9;6
Brides;1979;234;773;252;77;55;24;17;12;1;6
Brides;1980;174;708;247;68;48;24;19;9;1;8
Brides;1981;161;721;275;93;43;27;17;7;3;9
Brides;1982;144;673;284;94;49;20;10;13;6;10
Brides;1983;125;665;367;123;42;32;18;10;8;6
Brides;1984;107;657;385;128;61;35;17;11;7;5
Brides;1985;81;573;368;124;46;25;19;9;3;4
Brides;1986;67;514;380;147;58;24;19;12;3;5
Brides;1987;41;444;396;139;53;42;11;14;11;9
Brides;1988;47;494;456;170;45;35;26;9;8;4
Brides;1989;39;405;417;162;65;42;24;11;9;2
Brides;1990;20;383;418;161;65;46;30;18;7;6
Brides;1991;36;351;483;175;88;48;19;17;10;9
Brides;1992;28;312;487;217;91;50;27;10;10;9
Brides;1993;19;300;459;232;97;59;21;14;11;7
Brides;1994;22;267;467;266;128;79;42;15;16;8
Brides;1995;28;249;438;247;149;56;29;22;8;12
Brides;1996;16;262;489;258;156;75;41;27;16;9
Brides;1997;20;220;438;350;210;116;60;33;14;19
Brides;1998;23;216;503;356;224;92;46;33;21;15
Brides;1999;31;226;501;330;223;112;68;37;20;11
Brides;2000;30;259;590;361;244;136;79;37;23;18
Brides;2001;25;240;505;291;175;112;65;35;13;23
Brides;2002;29;238;500;370;223;136;70;36;28;22
Brides;2003;12;217;477;346;226;114;60;33;22;25
Brides;2004;14;193;427;350;202;131;98;53;25;21
Brides;2005;10;195;522;368;220;142;81;57;36;27
Brides;2006;14;193;510;402;250;160;107;55;36;22
Brides;2007;8;220;515;408;250;181;100;50;37;28
Brides;2008;12;203;508;371;211;135;119;71;46;26
Brides;2009;13;188;459;338;197;108;82;71;31;45
Brides;2010;11;180;440;376;208;128;85;64;24;30
Brides;2011;6;152;371;350;243;113;94;68;30;28
