"Students by level, field of study, age and sex 1997-2013"

"ISCED level";"Broad fields of study";"Age";"1997 Total";"1998 Total";"1999 Total";"2000 Total";"2001 Total";"2002 Total";"2003 Total";"2004 Total";"2005 Total";"2006 Total";"2007 Total";"2008 Total";"2009 Total";"2010 Total";"2011 Total";"2012 Total";"2013 Total"
"Total";"Total";"15 years";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Total";"Total";"16 years";0;0;0;1;1;0;0;0;1;0;2;0;0;1;0;0;0
"Total";"Total";"17 years";0;0;0;0;3;2;1;3;2;2;1;3;4;2;1;1;0
"Total";"Total";"18 years";5;1;1;2;3;10;8;5;17;17;15;18;27;15;21;23;11
"Total";"Total";"19 years";25;28;30;43;39;35;51;55;65;83;76;89;104;116;134;208;174
"Total";"Total";"20 years";364;448;645;638;670;756;732;728;696;674;684;802;1073;1042;982;996;1048
"Total";"Total";"21 years";804;772;965;1050;1084;1213;1218;1189;1170;1120;1160;1229;1523;1512;1549;1542;1592
"Total";"Total";"22 years";994;972;1057;1120;1318;1363;1435;1410;1372;1350;1297;1389;1416;1700;1733;1770;1776
"Total";"Total";"23 years";940;1018;1071;1026;1108;1309;1371;1402;1372;1371;1323;1276;1348;1490;1709;1698;1772
"Total";"Total";"24 years";960;847;1006;956;960;1061;1272;1191;1275;1251;1261;1186;1210;1300;1341;1494;1512
"Total";"Total";"25 years";770;740;767;783;803;860;974;1040;1026;1070;1105;1017;1071;1139;1112;1155;1347
"Total";"Total";"26 years";519;594;619;620;642;733;817;803;924;856;931;956;953;935;980;949;1038
"Total";"Total";"27 years";359;388;476;504;558;619;664;676;725;824;791;811;830;865;832;794;802
"Total";"Total";"28 years";260;270;340;408;448;518;577;622;587;611;759;728;740;787;734;730;695
"Total";"Total";"29 years";199;213;254;301;391;451;517;540;564;518;581;666;644;688;726;671;682
"Total";"Total";"30 years";163;186;215;230;319;420;450;467;470;494;489;497;573;610;609;616;658
"Total";"Total";"31 years";172;144;173;191;226;373;422;448;440;447;465;473;483;580;548;537;561
"Total";"Total";"32 years";135;152;155;170;223;249;373;400;448;367;437;443;464;464;550;462;528
"Total";"Total";"33 years";120;125;160;137;213;229;287;363;398;398;365;402;438;458;426;454;455
"Total";"Total";"34 years";96;114;131;182;188;233;264;281;372;386;393;356;401;383;430;397;463
"Total";"Total";"35 years";100;104;129;132;210;230;272;273;279;330;359;365;371;350;347;368;404
"Total";"Total";"36 years";75;102;114;128;173;238;238;266;254;274;323;356;377;354;346;323;356
"Total";"Total";"37 years";110;68;107;128;157;194;268;236;247;258;242;323;335;318;341;305;311
"Total";"Total";"38 years";71;103;79;118;153;204;227;271;247;221;286;242;299;351;297;299;287
"Total";"Total";"39 years";74;85;112;93;140;177;226;246;285;230;238;285;244;294;300;277;296
"Total";"Total";"40 years";78;98;94;105;123;171;202;236;245;264;240;249;240;219;271;275;253
"Total";"Total";"41 years";86;89;93;105;126;159;192;212;231;217;282;223;243;240;196;245;229
"Total";"Total";"42 years";55;80;101;86;134;153;176;199;222;211;220;239;231;223;230;203;241
"Total";"Total";"43 years";59;72;79;110;107;146;184;184;199;212;213;227;211;209;200;207;206
"Total";"Total";"44 years";48;71;90;90;116;129;176;198;173;198;221;214;223;204;190;187;217
"Total";"Total";"45 years";67;62;78;90;113;129;150;176;197;177;212;209;230;205;196;162;179
"Total";"Total";"46 years";54;67;60;85;101;128;150;148;156;179;189;186;198;202;191;182;159
"Total";"Total";"47 years";40;58;66;63;81;128;140;147;160;159;186;168;181;183;178;183;174
"Total";"Total";"48 years";53;58;47;75;76;104;143;130;140;138;153;181;164;173;178;156;177
"Total";"Total";"49 years";39;46;58;46;79;97;105;149;126;131;144;154;177;158;165;164;157
"Total";"Total";"50 years";32;49;45;47;71;84;94;112;139;137;145;142;153;167;129;147;139
"Total";"Total";"51 years";27;32;40;41;54;80;77;96;115;109;142;118;137;123;145;123;128
"Total";"Total";"52 years";25;39;34;36;49;64;82;88;88;93;135;115;111;103;113;135;104
"Total";"Total";"53 years";22;31;26;28;33;46;64;86;82;86;110;117;106;97;86;97;132
"Total";"Total";"54 years";17;28;34;29;33;57;49;53;87;66;102;87;95;102;89;82;86
"Total";"Total";"55 years";15;21;24;27;30;34;50;44;36;71;77;86;80;91;94;78;72
"Total";"Total";"56 years";16;16;20;18;32;30;37;41;38;40;75;61;72;64;78;70;47
"Total";"Total";"57 years";13;16;13;17;24;31;32;30;36;41;27;57;52;65;51;63;60
"Total";"Total";"58 years";8;16;12;8;18;24;28;25;22;45;40;33;52;48;60;48;55
"Total";"Total";"59 years";1;11;12;12;7;12;23;21;20;19;36;30;38;48;45;39;55
"Total";"Total";"60 years";5;3;10;12;8;13;16;21;16;13;23;24;24;30;41;31;34
"Total";"Total";"61 years";5;3;2;7;9;9;12;11;15;12;15;19;20;32;25;35;24
"Total";"Total";"62 years";3;5;2;4;7;6;10;11;15;15;13;22;16;18;20;18;33
"Total";"Total";"63 years";3;4;4;4;3;6;6;10;8;13;16;13;15;18;16;19;20
"Total";"Total";"64 years";1;2;4;2;4;2;9;6;9;10;15;14;14;13;18;11;13
"Total";"Total";"65 years";3;1;0;4;4;4;1;6;5;5;5;10;12;9;7;13;17
"Total";"Total";"66 years";1;3;1;3;3;5;4;2;7;7;6;4;6;11;8;9;15
"Total";"Total";"67 years";1;1;4;2;2;4;5;5;1;6;7;4;8;10;9;6;8
"Total";"Total";"68 years";1;1;1;4;0;2;5;4;4;1;7;4;6;3;9;9;3
"Total";"Total";"69 years";2;1;2;0;4;1;2;4;3;3;2;6;5;6;3;8;8
"Total";"Total";"70 years";0;2;1;1;0;5;0;1;3;3;4;2;2;2;5;4;5
"Total";"Total";"71 years";3;1;2;0;1;2;5;0;1;3;3;3;4;5;2;2;5
"Total";"Total";"72 years";0;0;0;1;0;1;2;4;0;1;3;4;3;2;3;1;3
"Total";"Total";"73 years";1;0;1;0;1;0;1;2;2;0;0;2;3;3;3;5;1
"Total";"Total";"74 years";0;0;0;1;0;1;0;0;1;4;0;0;2;1;4;2;3
"Total";"Total";"75 years";0;0;0;1;1;0;1;0;0;2;2;0;0;1;1;3;3
"Total";"Total";"76 years";0;0;0;0;1;1;1;0;1;1;2;1;0;0;2;1;2
"Total";"Total";"77 years";0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;3;1
"Total";"Total";"78 years";0;0;0;0;0;0;1;1;0;0;1;2;2;1;0;0;2
"Total";"Total";"79 years";1;0;0;0;0;0;0;1;1;1;0;1;2;1;2;0;0
"Total";"Total";"80 years";0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
"Total";"Total";"81 years";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Total";"Total";"82 years";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0
"Total";"Total";"83 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Total";"Total";"84 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Total";"Total";"85 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Total";"Total";"86 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Total";"Total";"87 years";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Total";"Total";"88 years";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Total";"Total";"89 years";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Total";"Total";"90 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
